ano,mes,sku,conta,seller_id,status,unidades,receita,comissao,frete,custo,pedidos
2020,12,HONURD,(sem conta),-100,paid,2.0,391.8,64.64,33.9,200.0,2
2020,12,HelixLt,(sem conta),-100,paid,1.0,10499.0,1732.34,49.95,9311.22,1
2020,12,Hybrid Set E,(sem conta),-100,paid,2.0,5455.0,761.32,63.9,4308.96,2
2020,12,IBCB60BK,(sem conta),-100,cancelled,1.0,520.0,0.0,31.95,380.8,1
2020,12,IBCB60BK,(sem conta),-100,paid,5.0,2600.0,299.0,159.75,1904.0,5
2020,12,ISO7BK,(sem conta),-100,paid,8.0,6491.5,832.34,156.55,5169.28,8
2020,12,Iso12BK,(sem conta),-100,paid,6.0,7394.5,850.34,157.08,5971.14,6
2020,12,Iso4,(sem conta),-100,paid,1.0,618.0,101.97,16.95,451.14,1
2020,12,J60,(sem conta),-100,paid,1.0,520.0,85.8,20.34,654.8,1
2020,12,K32,(sem conta),-100,paid,1.0,961.0,158.56,21.95,630.76,1
2020,12,KAL220SS,(sem conta),-100,paid,7.0,2023.0,232.68,118.65,1697.99,7
2020,12,LG20R,(sem conta),-100,paid,1.0,1100.0,181.5,31.95,738.4,1
2020,12,Lm17v,(sem conta),-100,paid,1.0,2245.0,258.18,49.95,1630.28,1
2020,12,Lp441ts,(sem conta),-100,paid,1.0,194.0,32.01,15.45,95.67,1
2020,12,Ls2,(sem conta),-100,paid,1.0,575.0,66.12,16.95,605.99,1
2020,12,Lx61,(sem conta),-100,paid,2.0,4580.0,755.7,63.9,3068.5,2
2020,12,M32Black,(sem conta),-100,cancelled,5.0,554.6,0.0,49.35,317.7,5
2020,12,M32Black,(sem conta),-100,paid,57.0,5847.1,939.2,1033.39,3431.16,54
2020,12,M702,(sem conta),-100,paid,7.0,9768.0,1611.69,120.15,3944.22,7
2020,12,MD18,(sem conta),-100,paid,5.0,3340.0,551.1,249.75,2160.0,5
2020,12,MG30FRS,(sem conta),-100,paid,1.0,669.0,76.94,49.95,458.0,1
2020,12,MIS0822,(sem conta),-100,paid,3.0,430.0,103.2,65.85,214.0,2
2020,12,MLB1469945235,(sem conta),-100,paid,6.0,183.3,61.86,88.6,0.0,4
2020,12,MLB1539301287_56920708608,(sem conta),-100,paid,1.0,3189.0,526.18,21.95,0.0,1
2020,12,MLB1592636476,(sem conta),-100,cancelled,1.0,134.99,0.0,15.45,0.0,1
2020,12,MLB1592636476,(sem conta),-100,paid,19.0,2159.84,423.13,293.55,0.0,16
2020,12,MLB1593024713_59918459926,(sem conta),-100,paid,1.0,215.0,35.48,16.95,0.0,1
2020,12,MLB1647331647,(sem conta),-100,paid,1.0,244.0,40.26,15.45,0.0,1
2020,12,MLB1647420478,(sem conta),-100,paid,1.0,325.0,53.62,15.45,0.0,1
2020,12,MLB1647437913,(sem conta),-100,cancelled,1.0,244.0,0.0,15.45,0.0,1
2020,12,MLB1647437913,(sem conta),-100,paid,1.0,244.0,40.26,15.45,0.0,1
2020,12,MLB1647450340,(sem conta),-100,paid,1.0,325.0,53.62,15.45,0.0,1
2020,12,MLB1647458225_63296370843,(sem conta),-100,cancelled,1.0,215.0,0.0,16.95,0.0,1
2020,12,MLB1647458225_63296370843,(sem conta),-100,paid,10.0,2150.0,247.2,169.5,0.0,10
